,subject,task,repetition,time,avg_dist,avg_force
0,0,LiverResection,0,26.38146,0.002196456209954058,0.09800918822227864
1,0,LiverResection,1,21.160039999999995,0.001795744227755102,0.11836734690008659
2,0,LiverResection,2,15.940740000000005,0.0024185916251381213,0.09944751404844085
3,0,LiverResection,3,26.87652,0.0017032362379696968,0.03333333387035712
4,0,LiverResection,4,20.126959999999997,0.001331897612972973,0.020790020591127722
5,0,LiverResection,5,18.763800000000003,0.0015923948621609195,0.05057471254215088
6,0,Nephrectomy,0,10.030050000000001,0.002249042685588235,0.15020431504610773
7,0,Nephrectomy,1,10.291819999999998,0.00358662844025974,0.5195248717903171
8,0,Nephrectomy,2,9.215249999999997,0.002120807833151751,0.18394687784888542
9,0,Nephrectomy,3,10.982430000000008,0.002872691019211823,0.0892132608189521
10,0,Nephrectomy,4,12.454799999999992,0.0019605684241486066,0.11506458925525273
11,0,Nephrectomy,5,36.7936,0.0031741405899999996,0.3843697989598326
12,0,Thymectomy,0,21.19508,0.005759163598214287,0.13757592992078232
13,0,Thymectomy,1,18.598840000000003,0.006145337497974684,0.04679987929845847
14,0,Thymectomy,2,18.907359999999997,0.0055781205155388475,0.10294926500466174
15,0,Thymectomy,3,24.1186,0.006326011600988142,0.05938632551887981
16,0,Thymectomy,4,20.14590000000001,0.006777103223150358,0.04259177238975811
17,0,Thymectomy,5,22.804000000000002,0.007433605622129436,0.005642892923574421
18,0,Training1,0,30.961800000000004,0.0018326358072172884,0.08425374004423858
19,0,Training1,1,20.301199999999994,0.0022077776068930043,0.1308655119147996
20,0,Training1,2,19.910200000000017,0.002602287298228129,0.17257699215236044
21,0,Training1,3,24.259799999999984,0.0016375259334124087,0.11717781821279567
22,0,Training1,4,23.9572,0.0020560128656290774,0.11940854103729538
23,0,Training1,5,19.802999999999997,0.0019772087421116506,0.1483350998808618
24,0,Training2,0,28.496439999999996,0.0022695669511045946,0.2263528122227228
25,0,Training2,1,30.323539999999994,0.0026966556612749762,0.16560940438170388
26,0,Training2,2,27.377970000000005,0.0031262247510789763,0.3006967505502799
27,0,Training2,3,30.058300000000003,0.0029445992112810708,0.10108317335877062
28,0,Training2,4,26.016199999999998,0.00239183291183355,0.13387614752299667
29,0,Training2,5,24.22644,0.0025817238218045113,0.05164174745928708
30,0,Training3,0,11.644108000000001,0.007209747531092437,0.1498368445593324
31,0,Training3,1,12.80424,0.006564769981949457,0.0006640223562904853
32,0,Training3,2,10.72712,0.008024203053097345,0.0016639260476482014
33,0,Training3,3,17.039100000000005,0.00704643140625,0.013599416720470492
34,0,Training3,4,14.447100000000006,0.006577108087543253,0.11897271042316657
35,0,Training3,5,18.91669999999999,0.007248854390532544,0.025805168788956282
36,1,LiverResection,0,26.38146,0.002196456209954058,0.09800918822227864
37,1,LiverResection,1,21.160039999999995,0.001795744227755102,0.11836734690008659
38,1,LiverResection,2,15.940740000000005,0.0024185916251381213,0.09944751404844085
39,1,LiverResection,3,26.87652,0.0017032362379696968,0.03333333387035712
40,1,LiverResection,4,20.126959999999997,0.001331897612972973,0.020790020591127722
41,1,LiverResection,5,18.763800000000003,0.0015923948621609195,0.05057471254215088
42,1,Nephrectomy,0,10.030050000000001,0.002249042685588235,0.15020431504610773
43,1,Nephrectomy,1,10.291819999999998,0.00358662844025974,0.5195248717903171
44,1,Nephrectomy,2,9.215249999999997,0.002120807833151751,0.18394687784888542
45,1,Nephrectomy,3,10.982430000000008,0.002872691019211823,0.0892132608189521
46,1,Nephrectomy,4,12.454799999999992,0.0019605684241486066,0.11506458925525273
47,1,Nephrectomy,5,36.7936,0.0031741405899999996,0.3843697989598326
48,1,Thymectomy,0,21.19508,0.005759163598214287,0.13757592992078232
49,1,Thymectomy,1,18.598840000000003,0.006145337497974684,0.04679987929845847
50,1,Thymectomy,2,18.907359999999997,0.0055781205155388475,0.10294926500466174
51,1,Thymectomy,3,24.1186,0.006326011600988142,0.05938632551887981
52,1,Thymectomy,4,20.14590000000001,0.006777103223150358,0.04259177238975811
53,1,Thymectomy,5,22.804000000000002,0.007433605622129436,0.005642892923574421
54,1,Training1,0,30.961800000000004,0.0018326358072172884,0.08425374004423858
55,1,Training1,1,20.301199999999994,0.0022077776068930043,0.1308655119147996
56,1,Training1,2,19.910200000000017,0.002602287298228129,0.17257699215236044
57,1,Training1,3,24.259799999999984,0.0016375259334124087,0.11717781821279567
58,1,Training1,4,23.9572,0.0020560128656290774,0.11940854103729538
59,1,Training1,5,19.802999999999997,0.0019772087421116506,0.1483350998808618
60,1,Training2,0,28.496439999999996,0.0022695669511045946,0.2263528122227228
61,1,Training2,1,30.323539999999994,0.0026966556612749762,0.16560940438170388
62,1,Training2,2,27.377970000000005,0.0031262247510789763,0.3006967505502799
63,1,Training2,3,30.058300000000003,0.0029445992112810708,0.10108317335877062
64,1,Training2,4,26.016199999999998,0.00239183291183355,0.13387614752299667
65,1,Training2,5,24.22644,0.0025817238218045113,0.05164174745928708
66,1,Training3,0,11.644108000000001,0.007209747531092437,0.1498368445593324
67,1,Training3,1,12.80424,0.006564769981949457,0.0006640223562904853
68,1,Training3,2,10.72712,0.008024203053097345,0.0016639260476482014
69,1,Training3,3,17.039100000000005,0.00704643140625,0.013599416720470492
70,1,Training3,4,14.447100000000006,0.006577108087543253,0.11897271042316657
71,1,Training3,5,18.91669999999999,0.007248854390532544,0.025805168788956282
72,5,Training1,0,13.96227,0.0063183309999999965,0.0
73,5,Training1,1,5.36177,0.006318330999999997,0.0
74,5,Training1,2,2.556650000000001,0.006318330999999998,0.0
75,5,Training1,3,1.766449999999999,0.006318330999999998,0.0
76,5,Training1,4,5.42015,0.006318330999999998,0.0
77,5,Training1,5,4.859869,0.006318330999999998,0.0
78,5,Training1,6,3.9333490000000007,0.006318330999999998,0.0
79,5,Training1,7,2.0038400000000003,0.006318330999999999,0.0
80,5,Training1,8,21.556749999999994,0.002292049251863426,0.1221991534546716
81,5,Training2,0,4.140499999999999,0.03759999776923077,3.0000000159990474
82,5,Training2,1,9.04027,0.027824535389221555,2.9999999787387757
83,5,Training2,2,9.999249999999998,0.01999414720379147,2.999999998496473
84,5,Training2,3,2.65315,0.03133145075471698,2.9999999476276513
85,5,Training3,0,25.791980000000002,0.004893515543968871,1.9142262036762714
86,X,Training1,0,16.82443,0.0031612756868913856,0.15705858034651574
87,X,Training1,1,19.34344,0.0023273085994791665,0.14533505343022524
88,X,Training1,2,15.987660000000005,0.002279803488752197,0.1689684734113495
89,X,Training1,3,20.3485,0.0015292707652218938,0.1288136948121774
90,X,Training1,4,24.025000000000006,0.0016540088532997846,0.1278736088087813
91,X,Training1,5,1.557930000000006,0.006318330999999998,0.0
92,X,Training2,0,28.708699999999993,0.0027338619264676615,0.11150732150263158
93,X,Training2,1,24.967299999999994,0.001816112304021938,0.03078443757755436
94,X,Training2,2,49.39749999999998,0.002174109779044944,0.013645554131727609
95,X,Training2,3,50.13839999999999,0.002385757037706511,0.055528341449076944
96,X,Training2,4,2.8780399999999986,0.025542048931297714,2.99999998324407
